Timestamp,Charging_per_day,MAX. TEMP(F),MIN. TEMP(F),Precipitation (Inches),Snowfall (Inches),Snow Cover (Inches),Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Weekend,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Hour_0
2018-02-25,255.4888676909391,40,20,0.0,0.0,3,False,False,False,False,False,False,True,True,False,False,False,True,True
2018-02-26,139.5007219559834,52,22,0.0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,True,True
2018-02-27,107.37201127779853,52,22,0.0,0.0,1,False,True,False,False,False,False,False,False,False,False,False,True,True
2018-02-28,191.6183659830755,48,25,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,True,True
2018-03-01,159.55626956166338,53,20,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-03-02,117.72851000635131,69,31,0.0,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-03-03,156.7455605515151,68,30,0.0,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-03-04,222.693518893546,67,31,0.0,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-03-05,140.53800248825087,45,24,0.0,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-03-06,155.37107342072417,51,20,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-03-07,160.40033796005184,52,17,0.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-03-08,200.00820196257564,65,25,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-03-09,115.09092878405512,64,40,0.0,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-03-10,151.70934984512607,57,39,0.0,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-03-11,93.39148434487609,51,19,0.0,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-03-12,88.56545438577106,56,22,0.0,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-03-13,166.70218905557238,57,23,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-03-14,144.7619661839874,66,30,0.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-03-15,226.88971661912367,65,35,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-03-16,178.9270198072863,52,31,0.32,0.1,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-03-17,144.1342006843746,61,27,0.0,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-03-18,177.57204758409068,54,28,0.25,0.2,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-03-19,209.37950387265138,45,27,0.36,0.8,0,True,False,False,False,False,False,False,False,False,True,False,False,True
